Policy Number;Attempt Date;Return Date;Name;Initial/Recurring;Amount;Response Code;Method;Last 4;Exp;Primary/Secondary;Payment Source
FM015395;2024-03-07 06:00:57.0;2024-03-07 06:00:57.0;UATJavikcDvHCxV;Initial Payment;135.28;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM031730;2024-03-07 06:02:53.0;2024-03-07 06:02:53.0;UATJavikKAlTMBp;Initial Payment;280.07;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM041581;2024-03-07 06:02:53.0;2024-03-07 06:02:53.0;UATJavikkQvpssa;Initial Payment;176.75;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM042290;2024-03-07 06:02:49.0;2024-03-07 06:02:49.0;UATJavikjmoaZFH;Initial Payment;280.07;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM048949;2024-03-07 06:03:15.0;2024-03-07 06:03:15.0;UATJavikJVzOVra;Initial Payment;135.28;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM057328;2024-03-07 06:00:57.0;2024-03-07 06:00:57.0;UATJavikSgvAdnq;Initial Payment;113.95;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM059368;2024-03-07 06:03:15.0;2024-03-07 06:03:15.0;UATJavikTbLgwjF;Initial Payment;113.95;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM070098;2024-03-07 06:02:56.0;2024-03-07 06:02:56.0;UATJavikRToKlmR;Initial Payment;176.75;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM071891;2024-03-07 06:03:04.0;2024-03-07 06:03:04.0;UATJavikLJAZgmO;Initial Payment;227.90;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM084163;2024-03-07 06:00:59.0;2024-03-07 06:00:59.0;UATJavikoOedwcY;Initial Payment;235.36;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM087512;2024-03-07 06:03:02.0;2024-03-07 06:03:02.0;UATUcrjSnhEsADHhPpN;Initial Payment;165.46;APPROVED;CC;3222;1224;Primary;Scheduled Payment
FM100201;2024-03-07 06:00:57.0;2024-03-07 06:00:57.0;Romano;Initial Payment;170.60;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM105970;2024-03-07 06:02:56.0;2024-03-07 06:02:56.0;UATJavikkWAQCgH;Initial Payment;113.95;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM118106;2024-03-07 06:03:03.0;2024-03-07 06:03:03.0;UATJavikbbvgWTD;Initial Payment;227.90;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM129042;2024-03-07 18:29:56.0;2024-03-07 18:29:56.0;UATJavikUtUbVvO;Initial Payment;227.90;GENERIC DECLINE;ACH;2227;          ;Primary;Scheduled Payment
FM142505;2024-03-07 06:02:58.0;2024-03-07 06:02:58.0;UATJavikOmEJzJD;Initial Payment;113.95;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM150661;2024-03-07 06:02:09.0;2024-03-07 06:02:09.0;UATJavikWFLnHiF;Initial Payment;87.10;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM154431;2024-03-07 06:02:14.0;2024-03-07 06:02:14.0;UATJavikEyHgtRH;Initial Payment;251.66;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM154579;2024-03-07 08:49:47.0;2024-03-07 08:49:47.0;Bingo;Recurring;713.87;EXPIRED CARD;CC;4242;1223;Primary;Scheduled Payment
FM154939;2024-03-07 06:02:14.0;2024-03-07 06:02:14.0;UATJavikiYVtldQ;Recurring;490.71;APPROVED;CC;4242;1026;Primary;Scheduled Payment
FM171463;2024-03-07 06:02:56.0;2024-03-07 06:02:56.0;UATJavikNtfOFlV;Initial Payment;186.47;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM175355;2024-03-07 06:03:14.0;2024-03-07 06:03:14.0;UATJavikzDYvjEB;Initial Payment;235.36;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM176048;2024-03-07 06:02:47.0;2024-03-07 06:02:47.0;UATJavikCRxFetl;Initial Payment;165.46;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM176474;2024-03-07 06:02:15.0;2024-03-07 06:02:15.0;UATJavikubvyTjJ;Initial Payment;227.90;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM180223;2024-03-07 20:06:46.0;2024-03-07 20:06:46.0;Gomez;Initial Payment;43.76;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM194503;2024-03-07 06:02:16.0;2024-03-07 06:02:16.0;UATJavikgVpiMMr;Initial Payment;141.78;APPROVED;CC;3222;1026;Primary;Scheduled Payment
FM228560;2024-03-07 06:03:04.0;2024-03-07 06:03:04.0;Barbaton;Initial Payment;33.59;APPROVED;CC;3222;1224;Primary;Scheduled Payment
FM235582;2024-03-07 06:02:15.0;2024-03-07 06:02:15.0;UATJavikxpqUcPJ;Initial Payment;97.78;APPROVED;ACH;6789;          ;Primary;Scheduled Payment
FM242644;2024-03-07 06:02:55.0;2024-03-07 06:02:55.0;UATJtevvillPFmgPzPa;Initial Payment;165.46;APPROVED;CC;3222;1224;Primary;Scheduled Payment
FM250510;2024-03-07 16:52:30.0;2024-03-07 16:52:30.0;UATmNiCUDzuIKzYVXMu;Initial Payment;113.95;APPROVED;CC;3222;1224;Primary;Scheduled Payment
